id	name	publications	group	initials
720	Molly Johnson	0	1	MJ
721	Kristin Walker	0	1	KW
722	Rafi Safadi	1	1	RS
723	Calvin S. Kalman	4	1	CSK
724	M. Gratny	2	1	MG
725	Jing-Wen Lin	9	1	JL
726	Emily Moore	2	1	EM
727	Megan L. Grunert	1	1	MLG
728	Jennifer Blue	1	1	JB
729	Janet M. Casperson	1	1	JMC
730	Gene D. Sprouse	0	1	GDS
731	Andrea Noack	3	1	AN
732	Nasser M. Juma	5	1	NMJ
733	Ariel Dahan	3	1	AD
734	Todd Ruskell	1	1	TR
735	Michael Williamson	4	1	MW
736	P. K. Ahluwalia	1	1	PKA
737	Dominic McGrath	4	1	DM
738	John Almarode	0	1	JA
739	Eilish McLoughlin	2	1	EM
740	Kentaro Nagamine	1	1	KN
741	Amy L. Housley Gaffney	0	1	ALH
742	Patricia Allen	1	1	PA
743	David R. Sokoloff	0	1	DRS
744	Matty Lau	0	1	ML
745	Jos_ L. Zubimendi	2	1	JLZ
746	Heather Griffin	2	1	HG
747	Mathew Sandy Martinuk	4	1	MSM
748	M. Marder	0	1	MM
749	Richard L. Cardenas	3	1	RLC
750	B. L. Holton	3	1	BLH
751	Michael I. Posner	0	1	MIP
752	Susan Ramlo	0	1	SR
753	Valerie K. Otero	14	1	VKO
754	Ian Cooper	5	1	IC
755	David E. Trowbridge	1	1	DET
756	Sara E. Severance	0	1	SES
757	Suzanne M. Lea	3	1	SML
758	G. Rebmann	1	1	GR
759	George K. Horton	5	1	GKH
760	Michael Meyer	3	1	MM
761	Tram DoNgoc Hoang	4	1	TDH
762	Carolann Koleci	0	1	CK
763	Thomas L. O'Kuma	3	1	TLO
764	Georgi Rangelov	3	1	GR
765	Claire Loptson	2	1	CL
766	Haim Eshach	3	1	HE
767	Rachel Seggev	2	1	RS
768	Jrene Rahm	1	1	JR
769	Bat-Sheva Eylon	7	1	BE
770	Eleanor W. Close	3	1	EWC
771	R. Di Stefano	0	1	RDS
772	Angela Kelly	0	1	AK
773	Jacquelyn J. Chini	3	1	JJC
774	Igal Galili	2	1	IG
775	Suzanne White-Brahmia	6	1	SW
776	Kimberley Kreutzer	1	1	KK
777	Gerald Feldman	2	1	GF
778	Rachel E. Scherr	13	1	RES
779	Jorge dela Garza	1	1	JdG
780	Rochelle Gutierrez	0	1	RG
781	Jessica Clark	2	1	JC
782	Peter W. Hewson	0	1	PWH
783	Joshua Von Korff	2	1	JVK
784	Janelle M. Bailey	1	1	JMB
785	Gregory A. Braun	3	1	GAB
786	Susan Kowalski	1	1	SK
787	Carolina Alvarado	2	1	CA
788	David Rosengrant	13	1	DR
789	Ian D. Johnston	7	1	IDJ
790	Luanna S. Gomez	3	1	LSG
791	Donna Webb	5	1	DW
792	Jeffrey A. Phillips	3	1	JAP
793	Katherine Menchen	1	1	KM
794	Scott V. Franklin	3	1	SVF
795	Charles R. Rhyner	0	1	CRR
796	Russell K. Hobbie	2	1	RKH
797	Shih-Yin Lin	3	1	SL
798	Peter Kung	2	1	PK
799	Gregory Suran	2	1	GS
800	Michael Sanger	0	1	MS
801	Steve Iona	5	1	SI
802	Kai Fang	7	1	KF
803	Christian D. Schunn	2	1	CDS
804	Florin Lung	2	1	FL
805	Sergio Flores	6	1	SF
806	Luke Conlin	3	1	LC
807	Randall D. Knight	0	1	RDK
808	Maria Isabel Suero	4	1	MIS
809	Jennifer A. Roth	0	1	JAR
810	L. Bernold	4	1	LB
811	Sam Settelmeyer	2	1	SS
812	David A. Sears	1	1	DAS
813	Saalih Allie	6	1	SA
814	Magdalena Niewiadomska-Bugaj	0	1	MN
815	Orad Reshef	0	1	OR
816	Jeffrey Saul	4	1	JS
817	Kathleen M. Koenig	3	1	KMK
818	Kristina Zuza	3	1	KZ
819	Sytil K. Murphy	8	1	SKM
820	A. Stephanou	6	1	AS
821	Charles De Leone	8	1	CDL
822	Maan Jiang Broadstock	2	1	MJB
823	Danielle Keeble	0	1	DK
824	Saif Rayyan	0	1	SR
825	Mercedes Lorenzo	1	1	ML
826	Eric Brewe	12	1	EB
827	Mary Beth Ruskai	0	1	MBR
828	John R. Thompson	16	1	JRT
829	Ying-Tien Wu	9	1	YW
830	Jason Zeller	3	1	JZ
831	Betty Adams	0	1	BA
832	Jack W. Taylor	4	1	JWT
833	Mark F. Masters	0	1	MFM
834	Doug Bonn	1	1	DB
835	Casey W. Sanchez	1	1	CWS
836	David E. Pritchard	10	1	DEP
837	Katherine P. Dabney	1	1	KPD
838	Roger Nanes	2	1	RN
839	Kathy L. Malone	0	1	KLM
840	Rudolph Mitchell	2	1	RM
841	Yaron Lehavi	0	1	YL
842	Andrew F. Heckler	4	1	AFH
843	Sahana Murthy	6	1	SM
844	Christian H. Kautz	4	1	CHK
845	Margaret Wegener	4	1	MW
846	D. Laurillard	6	1	DL
847	Benedikt W. Harrer	4	1	BWH
848	R. Padraic Springuel	2	1	RPS
849	Zacharias Zacharia	1	1	ZZ
850	Ibrahim Abou Halloun	0	1	IAH
851	Madelen Bodin	0	1	MB
852	Dale R. Sweet	0	1	DRS
853	Yeounsoo Kim	4	1	YK
854	Dehui Hu	4	1	DH
855	Karen Scheel	0	1	KS
856	E. Burniston	4	1	EB
857	Mervi A. Asikainen	2	1	MAA
858	U. Wutchana	1	1	UW
859	Mark C. James	0	1	MCJ
860	Michael F. Schatz	9	1	MFS
861	Kevin Niall Dunbar	0	1	KND
862	Richard N. Steinberg	5	1	RNS
863	Daniel P. Dougherty	1	1	DPD
864	Cornelius Bennhold	2	1	CB
865	Rolando Rosalez	1	1	RR
866	Stephen G. Roberts	1	1	SGR
867	Adam M. Larson	1	1	AML
868	David Treagust	2	1	DT
869	Guangtian Zhu	1	1	GZ
870	Brant Hinrichs	0	1	BH
871	Malcolm Wells	1	1	MW
872	Tianren Wang	1	1	TW
873	Jose P. Mestre	6	1	JPM
874	G. Transtroemer	3	1	GT
875	Zeynep Isvan	1	1	ZI
876	Karim Diff	1	1	KD
877	Akira Miyake	5	1	AM
878	Chandralekha Singh	13	1	CS
879	Eunsook Kim	4	1	EK
880	Lorrie A. Shepard	4	1	LAS
881	Josh Gross	2	1	JG
882	Evan B. Pollock	2	1	EBP
883	Derek Briggs	4	1	DB
884	Aku Talikka	3	1	AT
885	Jo C. Bedard	1	1	JCB
886	Arnold Burger	5	1	AB
887	Mark D. Somers	1	1	MDS
888	Hsin-Yi Chang	9	1	HC
889	Andrea A. diSessa	1	1	AAd
890	Danielle Harlow	6	1	DH
891	Rebecca Jordan	2	1	RJ
892	David Jones	4	1	DJ
893	Dawn C. Meredith	2	1	DCM
894	Anna Sfard	0	1	AS
895	Lawrence T. Escalada	1	1	LTE
896	Florin Bocaneala	1	1	FB
897	Ronald Gautreau	0	1	RG
898	Taejin Byun	1	1	TB
899	Sharon Fargason	1	1	SF
900	Pamela J. Rosborough	0	1	PJR
901	William Mamudi	3	1	WM
902	Wenhui Zhao	2	1	WZ
903	P. Colin	1	1	PC
904	Joseph F. Wagner	2	1	JFW
905	P. E. Hirvonen	2	1	PEH
906	Seshini Pillay	3	1	SP
907	Apisit Devi Tongchai	2	1	ADT
908	Baylie Damtie	1	1	BD
909	Michael C. Wittmann	15	1	MCW
910	Dong-Hai Nguyen	3	1	DN
911	Michael Famiano	1	1	MF
912	Paul Charbonneau	1	1	PC
913	Larry Medsker	0	1	LM
914	Rasil Warnakulasooriya	3	1	RW
915	Rachel E. Pepper	4	1	REP
916	Kelly Holley-Bockelmann	5	1	KH
917	Anna De Ambrosis	1	1	ADA
918	Patrick L. Hession	3	1	PLH
919	J. S. Aslanides	1	1	JSA
920	Alicia Allbaugh	4	1	AA
921	Allan Harrison	2	1	AH
922	Veronica McCauley	5	1	VM
923	Trevor I. Smith	4	1	TIS
924	R. D. Dietz	3	1	RDD
925	Barbara L. Gonzalez	3	1	BLG
926	Jared Durden	2	1	JD
927	William Knouse	1	1	WK
928	Beth A. Lindsey	4	1	BAL
929	Curtis J. Hieggelke	3	1	CJH
930	Patrick B. Kohl	11	1	PBK
931	Benjamin Lawrence	1	1	BL
932	April Hankins	2	1	AH
933	Douglas Franke	3	1	DF
934	Esther Bagno	2	1	EB
935	Anneke Metz	1	1	AM
936	Dedra Demaree	14	1	DD
937	Terry F. Scott	2	1	TFS
938	Kelly Miller	4	1	KM
939	John Stewart	4	1	JS
940	Ronald A. Lawson	1	1	RAL
941	Colin S. Wallace	2	1	CSW
942	Ma. AileenA. Corpuz	2	1	MAC
943	E. Grant Williams	1	1	EGW
944	Alejandro Garza	1	1	AG
945	Edgardo Zamalloa	5	1	EZ
946	Leon Hsu	6	1	LH
947	Paul Ashcraft	0	1	PA
948	Hao-Chang Lo	9	1	HL
949	Jeffrey M. Hawkins	4	1	JMH
950	Edward Price	14	1	EP
951	Leonard Cerny	4	1	LC
952	M. Jackson Marr	12	1	MJM
953	Brandon Bucy	2	1	BB
