id	name	publications	group	initials
176	Sissi Li	4	1	SL
177	Alexander L. Rudolph	3	1	ALR
178	Robert J. Culbertson	4	1	RJC
179	Robert J. Dufresne	5	1	RJD
180	Todd J. Cooke	4	1	TJC
181	Jinseog Yi	1	1	JY
182	Arvind Kumar	1	1	AK
183	R. H. Pearson	3	1	RHP
184	P. Ramsden	7	1	PR
185	Richard Freuler	3	1	RF
186	Lisa Novemsky	1	1	LN
187	Anthony J. Bendinelli	1	1	AJB
188	Elaine Cohen	1	1	EC
189	Kwan Arayathanitkul	3	1	KA
190	Gerhard Sonnert	3	1	GS
191	Thomas A. Holme	1	1	TAH
192	Paul Beale	4	1	PB
193	Christine Audo	3	1	CA
194	Hilary A. Dwyer	3	1	HAD
195	Hideo Nitta	0	1	HN
196	Monica G. Ferguson-Hessler	2	1	MGF
197	Keron Subero	1	1	KS
198	Rosemary S. Russ	3	1	RSR
199	Alan Van Heuvelen	16	1	AVH
200	Emily Ashbaugh	1	1	EA
201	Brian A. Pyper	0	1	BAP
202	S. Rainson	2	1	SR
203	Amy Rouinfar	4	1	AR
204	Heidi V. Mauk	1	1	HVM
205	Adrian Carmichael	7	1	AC
206	William Gerace	5	1	WG
207	Eric Gustafson	1	1	EG
208	John W. Jewett	1	1	JWJ
209	Mel Sabella	5	1	MS
210	Christine Lindstrom	0	1	CL
211	Karen A. Marrongelle	1	1	KAM
212	Shulamit Kapon	3	1	SK
213	Gordon Baugh	4	1	GB
214	Helena Dedic	4	1	HD
215	Shelley Yeo	4	1	SY
216	K. Kelvin Cheng	3	1	KKC
217	Natalie Strand	3	1	NS
218	Shelley Rohar	1	1	SR
219	Dennis Kuhl	2	1	DK
220	Thomas Wemyss	0	1	TW
221	Kristi Hall	3	1	KH
222	Adrian Madsen	4	1	AM
223	Vasilis Pagonis	2	1	VP
224	Melissa S. Taylor	1	1	MST
225	Monwhea Jeng	2	1	MJ
226	Richard R. Hake	1	1	RRH
227	Peter S. Shaffer	14	1	PSS
228	Samuel Bowen	2	1	SB
229	Wolfgang Bauer	3	1	WB
230	Ronald Keith	2	1	RK
231	Elizabeth Stine-Morrow	2	1	ES
232	Carol Bowman	1	1	CB
233	Ngoc-Loan Nguyen	2	1	NN
234	Steven F. Wolf	2	1	SFW
235	Alex Maries	1	1	AM
236	Rosemary Wulf	2	1	RW
237	Cassandra A. Paul	3	1	CAP
238	R. Felder	5	1	RF
239	Jill A. Marshall	3	1	JAM
240	Donald B. Mountcastle	10	1	DBM
241	Stephen J. Robinson	6	1	SJR
242	Christopher M. Sorensen	1	1	CMS
243	Sadhana Puntambekar	7	1	SP
244	Janet Tate	3	1	JT
245	W. T. Griffith	0	1	WTG
246	Priscilla Pamela	4	1	PP
247	Dov Liberman	1	1	DL
248	M. Dubson	15	1	MD
249	Karsten Jessen	3	1	KJ
250	C. A. Ogilvie	0	1	CAO
251	G. Dall'Alba	7	1	GD
252	Julie A. Bianchini	3	1	JAB
253	Tianfang Cai	8	1	TC
254	Danielle Boyd-Harlow	4	1	DB
255	Christine Denison	3	1	CD
256	Zahra Hazari	2	1	ZH
257	May Lee	2	1	ML
258	C. Malley	5	1	CM
259	Indrajith Senevirathne	1	1	IS
260	James P. Olsen	1	1	JPO
261	R. LeMaster	10	1	RL
262	Louis J. Rubbo	0	1	LJR
263	David T. Brookes	15	1	DTB
264	Adam Moyer	2	1	AM
265	Jongho Shin	5	1	JS
266	Ayush Gupta	7	1	AG
267	Apriel Hodari	2	1	AH
268	Emily H. van Zee	7	1	EHv
269	J. E. Chavez-Pierce	4	1	JEC
270	James S. Terwilliger	3	1	JST
271	Stanley Morris	3	1	SM
272	C. J. Keller	11	1	CJK
273	Beth Simon	2	1	BS
274	M. Gilbert	3	1	MG
275	Jonathan E. Abbott	5	1	JEA
276	Diane J. Grayson	1	1	DJG
277	Patrick J. Enderle	2	1	PJE
278	Fu-Kwun Hwang	12	1	FH
279	Sheila Tobias	1	1	ST
280	E. W. Thomas	4	1	EWT
281	Frances Mateycik	5	1	FM
282	Germaine Taggart	5	1	GT
283	Chris Whittaker	3	1	CW
284	Gregg Swackhamer	2	1	GS
285	Robert G. Howard	2	1	RGH
286	Steve Goldhaber	4	1	SG
287	David Hammer	8	1	DH
288	Graham Oberem	3	1	GO
289	E. Cataloglu	1	1	EC
290	Michael Christel	4	1	MC
291	Colleen Megowan-Romanowicz	4	1	CM
292	Nacira Tache	1	1	NT
293	Brian W. Frank	9	1	BWF
294	Edwin Kashy	2	1	EK
295	Adam P. Fagen	3	1	APF
296	Louis Deslauriers	1	1	LD
297	Michael Scott	0	1	MS
298	Sherry A. Southerland	2	1	SAS
299	Jonathan Tumaniro	1	1	JT
300	Nathan Harshman	6	1	NH
301	Gary White	1	1	GW
302	Elizabeth Peak	4	1	EP
303	Beom-Ki Kim	1	1	BK
304	Charles B. Mamolo	1	1	CBM
305	Xueli Zou	5	1	XZ
306	Alysia D. Marino	2	1	ADM
307	A. S. Rosenthal	1	1	ASR
308	Marcos D. Caballero	14	1	MDC
309	John Cockman	1	1	JC
310	Adrienne Traxler	2	1	AT
311	Guadalupe L. Martinez	4	1	GLM
312	Ying Luo	7	1	YL
313	Kelvin Trefz	3	1	KT
314	Jason E. Dowd	5	1	JED
315	Angel L. Lopez	4	1	ALL
316	Julian Taylor	5	1	JT
317	Sufen Wen-Yu Chen	10	1	SWC
318	Vashti Michelle Sawtelle	5	1	VMS
319	Jing Wang	7	1	JW
320	E. Yerushalmi	12	1	EY
321	Matthew A. Kohlmyer	10	1	MAK
322	Frederick Reif	1	1	FR
323	Austin Calder	1	1	AC
324	Michael Prosser	0	1	MP
325	Andrew G. Bennett	4	1	AGB
326	Jun-ichiro Yasuda	1	1	JY
327	Pengfei Li	4	1	PL
328	Gary Gladding	0	1	GG
329	Eric A. Hagedorn	2	1	EAH
330	R. Cohen	2	1	RC
331	Alastair D. Gillies	5	1	ADG
332	Raymond A. Hodges	3	1	RAH
333	Jennifer Rodoff	0	1	JR
334	Dennis Kane	3	1	DK
335	Nathan O. Folland	2	1	NOF
336	Emma Kahle	0	1	EK
337	William Leonard	5	1	WL
338	Bijaya Aryal	2	1	BA
339	Sebastien Cormier	2	1	SC
340	Salomon F. Itza-Ortiz	7	1	SFI
341	Catherine H. Crouch	8	1	CHC
342	Gordon J. Aubrecht	8	1	GJA
343	Lana Ivanjek	2	1	LI
344	Saleh Alabdulkareem	5	1	SA
345	Benjamin T. Spike	1	1	BTS
346	Richard F. Gunstone	0	1	RFG
347	Geoffrey L. Cohen	5	1	GLC
348	George DeBeck	3	1	GD
349	Jason Cervenec	1	1	JC
350	Joss Ives	1	1	JI
351	Gerald F. Wheeler	0	1	GFW
352	Edgar D. Corpuz	6	1	EDC
353	MacKenzie R. Stetzer	4	1	MRS
354	Keith R. Bujak	6	1	KRB
355	Jennifer Taylor	2	1	JT
356	Vincent P. Coletta	1	1	VPC
357	Kathryn Scantlebury	0	1	KS
358	Leslie J. Atkins	1	1	LJA
359	David C. Webb	5	1	DCW
360	Roger E. Feeley	1	1	REF
361	Michael Kelly	2	1	MK
362	Jim Minstrell	1	1	JM
363	Edward E. Prather	3	1	EEP
364	M. R. Benne	4	1	MRB
365	Nathaniel Lasry	15	1	NL
366	Albert Lee	2	1	AL
367	Rachel Gheen	2	1	RG
368	Jesus Vazquez-Abad	2	1	JV
369	Donald J. Treacy	4	1	DJT
370	Kim Coble	2	1	KC
371	Daniel L. Schwartz	1	1	DLS
372	Scott M. Stevens	5	1	SMS
373	J. Poulis	3	1	JP
374	Janet E. Coffey	3	1	JEC
375	Jessica Bartley	2	1	JB
376	R. A. Lewis	0	1	RAL
377	Sarai N. Costley	1	1	SNC
378	Sabine Stanley	2	1	SS
379	Victor R. Lee	2	1	VRL
380	Timothy French	2	1	TF
381	C. Massen	3	1	CM
382	Cedric Linder	2	1	CL
383	Eric Dey	0	1	ED
384	Ping Zhang	1	1	PZ
385	Marcia C. Linn	1	1	MCL
386	Chia-Yu Wang	10	1	CW
387	Gordon Robertson	5	1	GR
388	James T. Dorward	1	1	JTD
389	S. J. Pollock	18	1	SJP
390	Pablo Barniol	1	1	PB
391	Rebecca Lippmann Kung	2	1	RLK
392	K.-A. Pettersson	1	1	KP
